case_id,equipment_type,equipment_model,location,complaint,symptoms,root_cause,action_taken,repair_cost,repair_time_hours,urgency,maintenance_type,date_reported
CASE-0001,Air Conditioning,BreezeAir Split 1.5T,Academic Block A,Cooling unit operates continuously but temperature does not fall.,Low airflow,Refrigerant leak,Repaired leak and recharged refrigerant,4467.95,4.7,Critical,Corrective,2026-01-20
CASE-0002,Generator,HeavyDuty 1000kVA,Academic Block B,Lights flickering when on DG set.,Hunting engine speed,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,10889.04,3.7,Medium,Corrective,2026-07-06
CASE-0003,Air Conditioning,BreezeAir Split 1.5T,Workshop,Cooling unit operates continuously but temperature does not fall.,Evaporator coil frozen,Refrigerant leak,Repaired leak and recharged refrigerant,4246.68,2.5,Low,Corrective,2026-07-17
CASE-0004,Air Conditioning,BreezeAir Split 1.5T,Academic Block A,Unit is dead.,No power,Burnt PCB,Replaced indoor unit PCB,7998.01,2.0,High,Corrective,2026-06-30
CASE-0005,Air Conditioning,DuctMaster Pro,Administrative Block,Loud rattling noise when AC is turned on.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1028.84,1.6,Medium,Corrective,2026-04-18
CASE-0006,Air Conditioning,DuctMaster Pro,Hostel Block,Vibrating noise from outdoor unit.,Excessive vibration in outdoor unit,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1268.56,1.3,Medium,Corrective,2026-06-09
CASE-0007,Air Conditioning,CoolMax 2000,Parking Area,Abnormal sound from AC.,Excessive vibration in outdoor unit,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1614.27,1.8,Critical,Corrective,2026-06-16
CASE-0008,Generator,PowerPlus 500kVA,Library,Generator not turning on.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,11355.74,1.9,High,Corrective,2025-11-15
CASE-0009,Air Conditioning,ChillTech Window 1.0T,Administrative Block,Continuous water drip from AC.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1069.76,0.6,Critical,Corrective,2025-09-28
CASE-0010,Air Conditioning,DuctMaster Pro,Academic Block B,Air from AC is warm.,Evaporator coil frozen,Refrigerant leak,Repaired leak and recharged refrigerant,7584.97,4.1,Critical,Preventive,2026-07-25
CASE-0011,Generator,PowerPlus 500kVA,Library,Voltage output is fluctuating heavily.,Hunting engine speed,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,13031.98,2.1,Critical,Corrective,2026-07-16
